0, -0.788206, 0.000000, -1.335291, 0.000000, 0.109854, 0.000000, 8.206256, 0.000000, 0.000000
1, -0.850524, 0.007480, -1.467262, 0.021103, 0.120043, 0.000142, 9.027312, 0.823617, 0.131876
2, -0.838380, 0.007039, -1.439048, 0.021103, 0.118623, 0.000141, 9.092643, 0.820226, 0.138224
3, -0.833319, 0.006988, -1.409800, 0.020009, 0.117668, 0.000143, 8.996200, 0.791860, 0.136660
4, -0.848705, 0.007218, -1.372393, 0.018926, 0.117442, 0.000139, 9.061782, 0.826950, 0.136276
5, -0.839953, 0.007018, -1.348020, 0.017810, 0.118332, 0.000141, 9.215808, 0.835622, 0.139506
6, -0.825350, 0.006911, -1.330608, 0.017987, 0.119500, 0.000141, 9.055694, 0.813614, 0.138482
7, -0.821664, 0.006791, -1.314420, 0.016905, 0.123816, 0.000152, 9.064603, 0.810973, 0.141328
8, -0.815929, 0.006889, -1.315149, 0.017130, 0.124512, 0.000158, 9.092134, 0.857912, 0.142538
9, -0.805274, 0.006204, -1.329257, 0.017489, 0.124903, 0.000152, 9.290606, 0.872436, 0.140970
10, -0.805340, 0.006321, -1.328315, 0.017146, 0.124345, 0.000150, 9.476970, 0.904221, 0.142147
11, -0.804505, 0.006523, -1.307894, 0.017699, 0.127070, 0.000162, 9.357639, 0.888368, 0.145053
12, -0.805504, 0.006702, -1.293047, 0.016804, 0.127856, 0.000172, 9.370819, 0.842907, 0.145632
13, -0.805177, 0.006647, -1.250544, 0.015234, 0.128798, 0.000166, 9.312129, 0.862959, 0.146925
14, -0.814715, 0.006698, -1.233076, 0.015284, 0.132481, 0.000177, 9.363417, 0.866536, 0.146739
15, -0.793564, 0.006129, -1.188686, 0.013768, 0.131094, 0.000171, 9.406668, 0.870788, 0.147358
16, -0.783450, 0.005969, -1.186737, 0.013741, 0.132970, 0.000173, 9.509633, 0.876084, 0.148434
17, -0.777494, 0.006066, -1.179983, 0.013959, 0.136000, 0.000177, 9.486141, 0.893540, 0.150151
18, -0.779342, 0.006193, -1.178211, 0.013614, 0.136618, 0.000179, 9.516577, 0.918791, 0.152540
19, -0.785062, 0.005988, -1.158867, 0.013637, 0.137235, 0.000193, 9.446215, 0.894652, 0.152790
20, -0.769022, 0.006067, -1.142526, 0.013400, 0.137380, 0.000189, 9.447252, 0.909861, 0.155008
21, -0.768655, 0.005934, -1.134141, 0.013170, 0.140567, 0.000194, 9.594949, 0.918445, 0.155335
22, -0.769204, 0.006005, -1.124420, 0.012468, 0.141670, 0.000200, 9.495296, 0.890167, 0.160239
23, -0.780009, 0.006272, -1.092070, 0.012092, 0.141015, 0.000199, 9.436760, 0.888986, 0.158860
24, -0.774950, 0.006045, -1.095525, 0.011830, 0.140712, 0.000193, 9.383059, 0.866592, 0.158812
25, -0.772858, 0.005867, -1.093974, 0.012046, 0.142111, 0.000193, 9.342880, 0.830893, 0.160035
26, -0.759461, 0.005699, -1.078866, 0.012060, 0.143527, 0.000200, 9.545884, 0.959734, 0.159101
27, -0.757635, 0.005667, -1.070913, 0.011562, 0.145107, 0.000218, 9.338501, 0.866669, 0.162474
28, -0.756707, 0.005534, -1.073380, 0.011030, 0.144389, 0.000212, 9.532374, 0.926878, 0.163152
29, -0.761661, 0.005663, -1.060551, 0.011602, 0.145230, 0.000217, 9.487482, 0.876993, 0.164911
30, -0.762507, 0.005512, -1.048758, 0.010872, 0.146485, 0.000214, 9.485014, 0.894814, 0.161950
31, -0.755578, 0.005664, -1.064592, 0.011123, 0.147666, 0.000218, 9.408094, 0.920211, 0.165484
32, -0.760179, 0.005828, -1.059348, 0.011129, 0.151257, 0.000232, 9.587631, 0.925658, 0.167337
33, -0.754158, 0.005695, -1.023742, 0.010946, 0.152850, 0.000236, 9.450137, 0.889519, 0.172403
34, -0.751272, 0.005956, -1.006302, 0.010255, 0.157057, 0.000246, 9.445080, 0.916035, 0.177132
35, -0.732444, 0.005337, -0.996209, 0.009909, 0.158238, 0.000252, 9.477253, 0.916767, 0.180545
36, -0.725326, 0.005062, -0.991745, 0.009752, 0.157709, 0.000251, 9.443373, 0.928983, 0.177738
37, -0.719087, 0.005135, -0.978592, 0.009976, 0.160190, 0.000257, 9.506732, 0.875766, 0.186483
38, -0.716599, 0.005027, -0.958197, 0.009276, 0.162974, 0.000284, 9.508700, 0.904572, 0.189730
39, -0.730215, 0.005192, -0.973838, 0.009880, 0.166344, 0.000268, 9.463693, 0.868754, 0.191282
40, -0.718213, 0.005193, -0.966222, 0.009214, 0.167855, 0.000289, 9.350695, 0.837344, 0.197964
41, -0.707007, 0.004907, -0.950186, 0.009423, 0.171401, 0.000294, 9.274114, 0.831425, 0.200174
42, -0.695152, 0.004658, -0.945848, 0.008960, 0.173328, 0.000310, 9.279816, 0.887975, 0.212945
43, -0.696622, 0.004953, -0.950276, 0.009548, 0.173686, 0.000296, 8.988339, 0.817137, 0.205419
44, -0.696128, 0.004758, -0.938838, 0.008804, 0.174026, 0.000307, 9.088765, 0.797773, 0.212926
45, -0.695269, 0.005140, -0.918074, 0.008332, 0.175203, 0.000306, 9.050261, 0.801283, 0.207539
46, -0.684716, 0.004762, -0.930422, 0.008478, 0.180896, 0.000328, 9.117736, 0.877588, 0.223405
47, -0.686534, 0.004930, -0.915055, 0.008368, 0.182306, 0.000329, 9.048486, 0.852703, 0.236045
48, -0.672111, 0.004537, -0.905414, 0.008549, 0.185123, 0.000334, 9.024040, 0.793844, 0.230497
49, -0.678582, 0.004616, -0.886447, 0.007803, 0.190854, 0.000359, 9.228297, 0.832570, 0.243563
