1, -0.569923, -0.686109, 0.251151, 8.74079
2, -0.570348, -0.68555, 0.25131, 8.72985
3, -0.56993, -0.684241, 0.250884, 8.71682
4, -0.570084, -0.6838, 0.251034, 8.73754
5, -0.570712, -0.68515, 0.250507, 8.7406
6, -0.569063, -0.685995, 0.250575, 8.74401
7, -0.568928, -0.686291, 0.250923, 8.72609
8, -0.568864, -0.687328, 0.250448, 8.72161
9, -0.5686, -0.686125, 0.249836, 8.72988
10, -0.569181, -0.685935, 0.250245, 8.71674
11, -0.568841, -0.685473, 0.249147, 8.69979
12, -0.567906, -0.686275, 0.249252, 8.68082
13, -0.567028, -0.68668, 0.24932, 8.66376
14, -0.567662, -0.686908, 0.248973, 8.70502
15, -0.570214, -0.687761, 0.251283, 8.73609
16, -0.573184, -0.692103, 0.253879, 8.80131
17, -0.575875, -0.694751, 0.255145, 8.80779
18, -0.575547, -0.694481, 0.255888, 8.79162
19, -0.572859, -0.692673, 0.255881, 8.77822
20, -0.571148, -0.69022, 0.255377, 8.7748
21, -0.570099, -0.69301, 0.25493, 8.77361
22, -0.570387, -0.693534, 0.254445, 8.77519
23, -0.568271, -0.693199, 0.254805, 8.79488
24, -0.568665, -0.691415, 0.254395, 8.79701
25, -0.567984, -0.692033, 0.254397, 8.78532
26, -0.568276, -0.690758, 0.254832, 8.77036
27, -0.567455, -0.690143, 0.255116, 8.76712
28, -0.566163, -0.690943, 0.256024, 8.74294
29, -0.566798, -0.690348, 0.256453, 8.74159
30, -0.567314, -0.688582, 0.256916, 8.76583
31, -0.56611, -0.68885, 0.257507, 8.77865
32, -0.566224, -0.688839, 0.257233, 8.77092
33, -0.567019, -0.689268, 0.257467, 8.79307
34, -0.567257, -0.68941, 0.257171, 8.76523
35, -0.566274, -0.689945, 0.257477, 8.77728
36, -0.565366, -0.691115, 0.257899, 8.76841
37, -0.565476, -0.690395, 0.257708, 8.77314
38, -0.564908, -0.689435, 0.25794, 8.78286
39, -0.565114, -0.688941, 0.258225, 8.80233
40, -0.565284, -0.689438, 0.258554, 8.79426
41, -0.563956, -0.689832, 0.25873, 8.78954
42, -0.562006, -0.688479, 0.258852, 8.80875
43, -0.561014, -0.689808, 0.259565, 8.817
44, -0.561408, -0.691155, 0.259828, 8.82607
45, -0.56137, -0.691268, 0.260328, 8.82501
46, -0.56436, -0.692147, 0.261325, 8.829
47, -0.56435, -0.693337, 0.261934, 8.83352
48, -0.565071, -0.691543, 0.262624, 8.81776
49, -0.564663, -0.692937, 0.264268, 8.83139
50, -0.564823, -0.69378, 0.263961, 8.82581
51, -0.565688, -0.694189, 0.259936, 8.82297
52, -0.571504, -0.700263, 0.253928, 8.77753
