0, 2.144434, 0.000000, 0.417641, 0.000000, 0.226112
1, 2.236954, 0.000391, 0.333495, 0.000041, 0.201371
2, 2.019866, 0.031172, 0.309590, 0.000533, 0.425404
3, 1.695297, 0.027516, 0.308964, 0.000924, 0.313103
4, 1.864363, 0.034163, 0.331451, 0.001126, 0.177272
5, 1.686155, 0.028946, 0.332596, 0.001111, 0.364575
6, 1.787668, 0.030110, 0.347719, 0.001220, 0.249211
7, 1.711214, 0.029210, 0.349706, 0.001168, 0.381536
8, 1.735216, 0.030708, 0.361670, 0.001317, 0.312799
9, 1.703484, 0.029151, 0.364409, 0.001370, 0.385821
10, 1.704628, 0.028526, 0.368896, 0.001381, 0.421372
11, 1.704150, 0.030602, 0.371518, 0.001363, 0.408589
12, 1.693007, 0.029865, 0.377338, 0.001397, 0.462057
13, 1.685098, 0.029506, 0.380542, 0.001391, 0.412115
14, 1.696155, 0.028662, 0.385093, 0.001480, 0.478515
15, 1.674230, 0.026782, 0.392271, 0.001516, 0.598300
16, 1.711576, 0.030205, 0.401687, 0.001551, 0.547257
17, 1.674522, 0.027763, 0.397475, 0.001663, 0.645685
18, 1.724761, 0.030481, 0.398856, 0.001590, 0.561078
19, 1.679103, 0.027228, 0.398105, 0.001594, 0.700878
20, 1.704196, 0.028374, 0.405725, 0.001658, 0.570743
21, 1.678250, 0.028651, 0.400217, 0.001668, 0.663344
22, 1.667802, 0.027192, 0.395880, 0.001557, 0.647901
23, 1.687733, 0.028792, 0.397894, 0.001574, 0.555018
24, 1.667265, 0.027719, 0.402321, 0.001644, 0.606707
25, 1.671892, 0.028199, 0.403796, 0.001636, 0.563599
26, 1.681024, 0.027006, 0.403818, 0.001612, 0.705100
27, 1.674368, 0.027845, 0.399971, 0.001584, 0.703288
28, 1.651395, 0.025825, 0.400195, 0.001558, 0.618290
29, 1.686559, 0.027726, 0.407273, 0.001672, 0.575577
30, 1.678842, 0.027130, 0.405344, 0.001637, 0.845364
31, 1.691148, 0.028318, 0.403307, 0.001603, 0.601168
