1, 1.65312, 0.395735
2, 1.64665, 0.39441
3, 1.63507, 0.39393
4, 1.62882, 0.393234
5, 1.61736, 0.392181
6, 1.60815, 0.391899
7, 1.59915, 0.390791
8, 1.58754, 0.389944
9, 1.57944, 0.3889
10, 1.57142, 0.388372
11, 1.56281, 0.387581
12, 1.55602, 0.386838
13, 1.54659, 0.38593
14, 1.54156, 0.38608
15, 1.54475, 0.386359
16, 1.55619, 0.387221
17, 1.56438, 0.38815
18, 1.57294, 0.388531
19, 1.58204, 0.389388
20, 1.59013, 0.390128
21, 1.60637, 0.39017
22, 1.63429, 0.390247
23, 1.65966, 0.390135
24, 1.68125, 0.389946
25, 1.68696, 0.389243
26, 1.68965, 0.38904
27, 1.69089, 0.389488
28, 1.69565, 0.389925
29, 1.69668, 0.389589
30, 1.69648, 0.38969
31, 1.69232, 0.389298
32, 1.68894, 0.3898
33, 1.68482, 0.389707
34, 1.68088, 0.389968
35, 1.67854, 0.390148
36, 1.67395, 0.390365
37, 1.6697, 0.390722
38, 1.66596, 0.391364
39, 1.66415, 0.391533
40, 1.65991, 0.391715
41, 1.65806, 0.392542
42, 1.65433, 0.392662
43, 1.65266, 0.393188
44, 1.6508, 0.393016
45, 1.64767, 0.393649
46, 1.64639, 0.394491
47, 1.64359, 0.394913
48, 1.64223, 0.395756
49, 1.63956, 0.395898
50, 1.63975, 0.395902
51, 1.63865, 0.395784
52, 1.64058, 0.394941
